"filename", "language", "TypeScript", "JSON", "JSON with Comments", "CSS", "TypeScript JSX", "XML", "Markdown", "HTML", "comment", "blank", "total"
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\customer\SelectedCustomerInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 0, 3, 61
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\drawer\BaseDrawer.tsx", "TypeScript JSX", 0, 0, 0, 0, 52, 0, 0, 0, 0, 3, 55
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\dropzones\ImgDropZone.tsx", "TypeScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 1, 7, 97
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\erorrBoundary\RootErrorBoundary.tsx", "TypeScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\fields\color\MultiSelectColorField.tsx", "TypeScript JSX", 0, 0, 0, 0, 123, 0, 0, 0, 1, 9, 133
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\forms\brand\BrandForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 102, 0, 0, 0, 6, 4, 112
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\inputs\BaseInputs.tsx", "TypeScript JSX", 0, 0, 0, 0, 255, 0, 0, 0, 8, 9, 272
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\invoice\BlankInvoice.tsx", "TypeScript JSX", 0, 0, 0, 0, 274, 0, 0, 0, 10, 15, 299
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\invoice\Invoice1.tsx", "TypeScript JSX", 0, 0, 0, 0, 377, 0, 0, 0, 11, 16, 404
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\invoice\MainInvoice.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\pos\PosCart.tsx", "TypeScript JSX", 0, 0, 0, 0, 427, 0, 0, 0, 9, 35, 471
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\pos\PosCartNumberInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 66, 0, 0, 0, 9, 4, 79
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\pos\PosCartProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 215, 0, 0, 0, 20, 10, 245
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\pos\PosContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 8, 75
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\pos\PosProductCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 150, 0, 0, 0, 5, 10, 165
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\pos\PosProductView.tsx", "TypeScript JSX", 0, 0, 0, 0, 138, 0, 0, 0, 19, 12, 169
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\pos\customInput.styles.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 15, 5, 50
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\products\CreateProductForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 342, 0, 0, 0, 5, 13, 360
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\products\card\ProductCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 132, 0, 0, 0, 1, 15, 148
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\products\fields\DescriptionEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 62, 0, 0, 0, 13, 8, 83
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\products\fields\ProductFields.tsx", "TypeScript JSX", 0, 0, 0, 0, 155, 0, 0, 0, 6, 5, 166
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\products\fields\ProductVariationField.tsx", "TypeScript JSX", 0, 0, 0, 0, 133, 0, 0, 0, 4, 16, 153
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\products\fields\ProductVariationFieldsSimple.tsx", "TypeScript JSX", 0, 0, 0, 0, 133, 0, 0, 0, 4, 16, 153
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\products\fields\VariantProducts.tsx", "TypeScript JSX", 0, 0, 0, 0, 388, 0, 0, 0, 42, 15, 445
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\products\fields\fields.ts", "TypeScript", 187, 0, 0, 0, 0, 0, 0, 0, 134, 11, 332
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\products\fields\hooks\useProductForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 75, 0, 0, 0, 1, 6, 82
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\scrollWrapper\ScrollWrapper2.tsx", "TypeScript JSX", 0, 0, 0, 0, 54, 0, 0, 0, 1, 7, 62
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\scroller\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 2, 2, 29
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\sections\BasicSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 87, 0, 0, 0, 0, 3, 90
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\service\fields\ServiceField\UserService.1.tsx", "TypeScript JSX", 0, 0, 0, 0, 198, 0, 0, 0, 29, 13, 240
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\service\fields\ServiceField\UserService.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 3, 2, 36
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\service\fields\ServiceField\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 566, 0, 0, 0, 69, 42, 677
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\service\fields\fields.ts", "TypeScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 2, 89
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\components\stats\StatsCell.tsx", "TypeScript JSX", 0, 0, 0, 0, 56, 0, 0, 0, 0, 5, 61
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\env\clientEnv.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\fetchers\fetchCSRF.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\fetchers\fetchUser.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 8, 3, 21
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\hooks\auth.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 0, 32, 13, 119
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\hooks\storeConnectors.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\hooks\useCustomForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 1, 3, 27
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\hooks\usePrintInvoice.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 45, 8, 53
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\hooks\useProductSearch.ts", "TypeScript", 139, 0, 0, 0, 0, 0, 0, 0, 2, 22, 163
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\layouts\AuthenticatedLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 49, 0, 0, 0, 2, 3, 54
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\layouts\GuestLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 109, 0, 0, 0, 22, 6, 137
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\layouts\WithCustomerLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 0, 5, 70
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\layouts\body\BodyWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 1, 2, 21
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\layouts\body\ContentWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 79, 0, 0, 0, 2, 6, 87
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\layouts\headers\BasicHeader.tsx", "TypeScript JSX", 0, 0, 0, 0, 272, 0, 0, 0, 15, 24, 311
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\layouts\headers\basicHeader.styles.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\layouts\navbar\BasicNavbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 201, 0, 0, 0, 3, 7, 211
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\layouts\navbar\navData.ts", "TypeScript", 147, 0, 0, 0, 0, 0, 0, 0, 16, 6, 169
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\layouts\navbar\navbar.styles.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 4, 4, 78
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\layouts\navbar\navlinkGroup\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 95, 0, 0, 0, 2, 7, 104
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\layouts\navbar\navlinkGroup\styles.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 14, 6, 97
"f:\hobby-project\lara\Motomedic-Backend\frontend\src\lib\axios.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 6, 5, 40
